Module code,Module name,no. of unis offering it,Is it a BZA mod?,Universities that offer it
CS2010, Data Structures and Algorithms II,10,False,Chinese University of Hong Kong,City University of Hong Kong,Eindhoven University of Technology,Korea Advanced Inst of Sci &amp; Tech,Technical University of Munich (Technische Universitat Munchen),University of California [Davis],University of Florida,University of Georgia,"University of Illinois, Urbana-Champaign",Victoria University of Wellington
CS3244, Machine Learning,13,True,Chinese University of Hong Kong,Delft University of Technology,ETH Zurich,Hong Kong University of Science &amp; Technology,Nanyang Technological University,"Rheinisch Westfalische Tech Hochschule, Aachen",Stanford University,Technical University of Munich (Technische Universitat Munchen),Tsinghua University,Tulane University,University of California [Irvine],University of Goteborg,Uppsala University
CS1010J, Programming Methodology,3,False,University of Melbourne,University of Pittsburg,Zhejiang University
CS2106, Introduction to Operating Systems,26,False,Concordia University,Hong Kong University of Science &amp; Technology,"King's College, London",Korea Advanced Inst of Sci &amp; Tech,Korea University,Linkoping University,Nanyang Technological University,Newcastle University,Royal Institute of Technology (Kungliga Tekniska Hogskolan),Stanford University,The University of Hong Kong,University of Adelaide,University of Birmingham,University of British Columbia,University of California [Berkeley],University of California [Davis],University of California [Riverside],University of California [San Diego],University of Connecticut,University of Oslo (Universitetet i Oslo),University of Southern California,"University of Texas, Austin",University of Tokyo,University of Waterloo,Uppsala University,Victoria University of Wellington
CS3230, Design and Analysis of Algorithms,8,False,Chinese University of Hong Kong,ETH Zurich,Seoul National University,Stanford University,University of Connecticut,"University of North Carolina, Chapel Hill","University of Texas, Austin",Uppsala University
CS2102, Database Systems,25,False,Concordia University,ETH Zurich,Hong Kong University of Science &amp; Technology,Korea Advanced Inst of Sci &amp; Tech,Korea University,Linkoping University,McGill University,Nanyang Technological University,"Rheinisch Westfalische Tech Hochschule, Aachen",Royal Institute of Technology (Kungliga Tekniska Hogskolan),Seoul National University,Stanford University,Technical University of Darmstadt (Technische Universitat Darmstadt),Technical University of Denmark,Tsinghua University,University College London,University of Goteborg,"University of North Carolina, Chapel Hill",University of Notre Dame,University of Ottawa,University of Southampton,University of Southern California,University of Tokyo,University of Waterloo,Uppsala University
CS2100, Computer Organisation,12,False,Concordia University,Hong Kong University of Science &amp; Technology,NUS College in Stockholm,Royal Institute of Technology (Kungliga Tekniska Hogskolan),The University of Hong Kong,University of Birmingham,University of Connecticut,University of Florida,"University of Illinois, Urbana-Champaign",University of Karlsruhe,University of Tokyo,University of Waterloo
CS2105, Introduction to Computer Networks,26,False,City University of Hong Kong,Concordia University,ETH Zurich,Eindhoven University of Technology,Hong Kong University of Science &amp; Technology,Korea Advanced Inst of Sci &amp; Tech,Korea University,National Tsing Hua University,Northwestern University,Royal Institute of Technology (Kungliga Tekniska Hogskolan),Singapore Management University,Stanford University,Swiss Federal Institute of Technology Lausanne,Technical University of Munich (Technische Universitat Munchen),Tsinghua University,University of Auckland,University of Birmingham,University of British Columbia,University of California [Riverside],University of California [Santa Cruz],University of Connecticut,University of Karlsruhe,"University of North Carolina, Chapel Hill",University of Oregon,University of Tokyo,Uppsala University
IS1103FC, Computing and Society,0,False
IS3101, Management of Information Systems,2,False,University of Auckland,University of Karlsruhe
IS3242, Software Quality Management,1,False,University of Karlsruhe
IS4240, Business Intelligence Systems,4,False,City University of Hong Kong,Hong Kong University of Science &amp; Technology,Korea Advanced Inst of Sci &amp; Tech,University of Manchester
IS4241, Social Media Network Analysis,3,True,Georgia Institute of Technology,Technical University of Denmark,University of Southampton
CS2103, Software Engineering,5,False,Tongji University Shanghai,"Trinity College, Dublin",University of Florida,University of Oregon,Victoria University of Wellington
CS3241, Computer Graphics,14,False,Concordia University,ETH Zurich,Hong Kong University of Science &amp; Technology,Nanyang Technological University,Newcastle University,Royal Institute of Technology (Kungliga Tekniska Hogskolan),Sabanci University,Technical University of Denmark,University of Manchester,"University of North Carolina, Chapel Hill",University of Notre Dame,University of Southampton,University of Southern California,Yonsei University
IS4234, Control and Audit of Information Systems,1,False,Hong Kong University of Science &amp; Technology
CS3240, Interaction Design,12,False,ETH Zurich,Newcastle University,Northwestern University,Royal Institute of Technology (Kungliga Tekniska Hogskolan),University of Auckland,University of Birmingham,University of New South Wales,"University of North Carolina, Chapel Hill",University of Nottingham,University of Southampton,University of Utrecht,Uppsala University
CS4212, Compiler Design,2,False,Stanford Center for Professional Development,University of Southern California
IS3221, Enterprise Resource Planning Systems,3,True,Hong Kong University of Science &amp; Technology,Technical University of Munich (Technische Universitat Munchen),Tsinghua University
CS3210, Parallel Computing,1,False,University of Southern California
CS3245, Information Retrieval,7,False,ETH Zurich,Hong Kong University of Science &amp; Technology,Stanford University,University of California [Irvine],"University of North Carolina, Chapel Hill",University of Notre Dame,"University of Texas, Austin"
CS4247, Graphics Rendering Techniques,1,False,ETH Zurich
IS1103, Computing and Society,5,True,Technical University of Munich (Technische Universitat Munchen),University of Connecticut,University of Oregon,University of Southern California,Uppsala University
IS4100, IT Project Management,8,False,Hanyang University,Royal Institute of Technology (Kungliga Tekniska Hogskolan),University College London,University of Auckland,University of Innsbruck,University of Karlsruhe,University of Manchester,University of Southampton
IS4231, Information Security Management,0,False
IS4260, E-Commerce Business Models,0,False
BT4211, Data-Driven Marketing,4,True,Georgia Institute of Technology,Singapore Management University,University of California [Riverside],University of Pennsylvania
BT4221, Big Data Techniques and Technologies,5,True,Georgia Institute of Technology,Humboldt University Berlin,Technical University of Denmark,Technical University of Munich (Technische Universitat Munchen),University of California [Merced]
BT4222, Mining Webdata for Business Insights,2,True,Georgia Institute of Technology,Humboldt University Berlin
CS2107, Introduction to Information Security,8,False,Korea University,Royal Institute of Technology (Kungliga Tekniska Hogskolan),Stanford University,Technical University of Munich (Technische Universitat Munchen),University of Applied Science Esslingen.,"University of North Carolina, Chapel Hill",University of Southampton,University of Southern California
CS3213, Software Systems Design,3,False,Nanyang Technological University,University of British Columbia,Uppsala University
CS3247, Game Development,3,False,Hong Kong University of Science &amp; Technology,University of Notre Dame,University of Southern California
CS4226, Internet Architecture,1,False,Tsinghua University
CS4231, Parallel and Distributed Algorithms,0,False
CS4232, Theory of Computation,8,False,Hong Kong University of Science &amp; Technology,National Tsing Hua University,Stanford University,University of Connecticut,University of Goteborg,University of Oregon,"University of Texas, Austin",University of Tokyo
CS4236, Cryptography Theory and Practice,9,False,George Washington University,Nanyang Technological University,Newcastle University,"Rheinisch Westfalische Tech Hochschule, Aachen",Sabanci University,Stanford University,Tsinghua University,University of Southern California,Uppsala University
CS4243, Computer Vision and Pattern Recognition,9,False,National Tsing Hua University,"Rheinisch Westfalische Tech Hochschule, Aachen",Royal Institute of Technology (Kungliga Tekniska Hogskolan),Seoul National University,Stanford University,Swiss Federal Institute of Technology Lausanne,Technical University of Munich (Technische Universitat Munchen),University of California [San Diego],University of Lausanne
CS4246, AI Planning and Decision Making,0,False
CS4248, Natural Language Processing,0,False
CS5218, Principles of Program Analysis,0,False
CS5272, Embedded Software Design,2,False,University of California [San Diego],University of Edinburgh
CS5321, Network Security,1,False,Tsinghua University
BT3102, Computational Methods for Business Analytics,5,True,McGill University,Nanyang Technological University,Singapore Management University,Technical University of Denmark,University of Southampton
CS1020E, Data Structures and Algorithms I,3,False,Nanyang Technological University,University of Southampton,Waseda University
CS4880, Digital Entrepreneurship,2,False,Hong Kong University of Science &amp; Technology,"University of North Carolina, Chapel Hill"
